12956,3356
3491,174
6939,12266
2764,38333
2764,38561
2764,7545
1273,1239
703,9498
703,2516
10026,4755
4755,9583
38333,1221
3320,1273
5692,264608
5692,52317
5692,262230
5692,52380
5692,27865
5692,28065
5692,52413
5692,3597
5692,10834
5692,52376
5692,52431
5692,11008
5692,52375
2914,6453
3257,3491
2686,3741
4637,2828
7545,4635
7545,9942
7545,4739
3741,37179
1299,6461
2497,701
6453,3257
701,7018
701,703
2516,32787
4739,38880
7016,7922
6762,2914
6904,2687
10834,22927
10834,12956
6461,2497
17676,6939
12266,20454
7018,3320
3356,3549
3549,6762
3549,30070
209,1299
32787,7474
32787,2764
2687,2686
2687,9505
174,209
1239,5511
1239,17676
9498,10026
9498,4637
9498,7473
30070,18540
30070,7016
30070,6904
38880,9002
38880,9443
38880,6695
